Dataset Name,Title / Official Name,Persistent Identifier (PID),Domain,Clinical Setting,Short name / acronym,Number of Documents / Notes,Language(s),Annotation Types / Levels / Tasks,Access / Use Conditions,Access Mechanism,License / Terms of Use,Repository / Hosting / Mirror URLs
MIMIC-III,MIMIC-III Clinical Database,10.13026/C2XW26,Intensive Care Unit (ICU) / Critical Care,Inpatient ICU,MIMIC-III,"2M+ notes, 53,423 ICU admissions, 38,597 patients, ~60,000 hospital admissions",English,"Demographics, vital signs (hourly), laboratory test results, procedures, medications, mortality, de-identification",Free but requires PhysioNet credentialing and Data Use Agreement (DUA),https://physionet.org/content/mimiciii/1.4/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/mimiciii/; Google Cloud Platform (BigQuery); Amazon Web Services (AWS Athena)
MIMIC-IV,MIMIC-IV Clinical Database,10.13026/kpb9-mt58,ICU / Emergency Department / Hospital-wide,"Inpatient ICU, Emergency Department",MIMIC-IV,"65,000+ ICU patients, 200,000+ ED patients",English,"Demographics, vital signs, laboratory results, medications, procedures, diagnoses",Free but requires PhysioNet credentialing and Data Use Agreement,https://physionet.org/content/mimiciv/3.1/,PhysioNet Credentialed Health Data License,"https://physionet.org/content/mimiciv/; BigQuery (mimiciv_v3_1_hosp, mimiciv_v3_1_icu); AWS"
n2c2 2018 - Cohort Selection,2018 National NLP Clinical Challenges (n2c2) Shared Task Track 1: Cohort Selection for Clinical Trials,10.1093/jamia/ocz163,Clinical trials / EHR clinical narratives,Longitudinal medical records (multiple settings),n2c2 2018 Track 1,"288 patients, 202 records (training), 86 records (test)",English,"Cohort selection, clinical trial eligibility criteria matching (Met/Not Met/Possibly Met), concept extraction, temporal reasoning, inference",Free for research; requires registration and Data Use Agreement,https://portal.dbmi.hms.harvard.edu/projects/n2c2-2018-t1/,n2c2 Data Use Agreement; Research use only,https://portal.dbmi.hms.harvard.edu/projects/n2c2-2018-t1/
n2c2 2019 - Concept Normalization,2019 n2c2/OHNLP Shared Task on Clinical Concept Normalization (Track 3) / 2019 n2c2/UMass Lowell Track,10.1093/jamia/ocaa104,Clinical concept normalization / Medical records,Hospital discharge summaries (inpatient),n2c2 2019 Track 3,"100 reports (test set); 10,919 concept mentions total; 3,792 unique concepts",English,"Named Entity Normalization (NEN), linking medical concepts (problems, treatments, tests) to UMLS CUIs",Free for research; requires Data Use Agreement,https://n2c2.dbmi.hms.harvard.edu/2019-track-3,n2c2 Data Use Agreement; Research purposes only,https://n2c2.dbmi.hms.harvard.edu/2019-track-3
RadGraph-XL,RadGraph-XL: A Large-Scale Expert-Annotated Dataset for Entity and Relation Extraction from Radiology Reports,10.13026/j8e7-pr22,Radiology / Medical imaging,Radiology departments (ICU and general hospital),RadGraph-XL,"2,300 radiology reports; 410,000+ entities and relations",English,"Entity extraction, relation extraction, clinical entity and relation annotation",Free for non-commercial research; requires PhysioNet credentialing,https://physionet.org/content/radgraph-xl/1.0.0/,PhysioNet license; non-commercial research use,https://physionet.org/content/radgraph-xl/; https://github.com/Stanford-AIMI/radgraph
BioASQ,BioASQ: Large-Scale Biomedical Semantic Indexing and Question Answering Challenge,N/A,Biomedical literature / Question answering,Biomedical research literature (not clinical setting),BioASQ,"14.9M+ PubMed articles (Task 8a); 3,243 questions (cumulative across years); Annual test sets released weekly/batch",English (primary); Task 8 (MESINESP) includes Spanish,"Task a: Semantic indexing (MeSH term assignment); Task b: Question answering (yes/no, factoid, list, summary); Document retrieval, snippet retrieval, concept identification",Free for research; Requires registration on BioASQ platform; Training data released incrementally,https://participants-area.bioasq.org/datasets/; Registration required at http://bioasq.org/,CC BY 2.5 License (BioASQ data); Source data from NLM under specific terms,http://bioasq.org/; https://participants-area.bioasq.org/; PubMed/MEDLINE access via NLM
PubMedQA,PubMedQA: A Dataset for Biomedical Research Question Answering,10.18653/v1/D19-1259,Biomedical research / Question answering,Biomedical research literature (not clinical setting),PubMedQA,"273,518 QA instances total: 1,000 expert-labeled (PQA-L), 61,200 unlabeled (PQA-U), 211,318 artificially generated (PQA-A)",English,Yes/No/Maybe question answering; Reasoning over biomedical text including quantitative content,Free and open access; No registration required,https://pubmedqa.github.io/; GitHub: https://github.com/pubmedqa/pubmedqa,Likely permissive open license (exact terms not specified in paper); Data from public PubMed,https://pubmedqa.github.io/; https://github.com/pubmedqa/pubmedqa
BC5CDR,BioCreative V CDR Task Corpus: Chemical-Disease Relation Extraction,10.1093/database/baw068,Toxicogenomics / Chemical-disease relations,Biomedical research literature,BC5CDR,"1,500 PubMed articles with 4,409 chemicals, 5,818 diseases, 3,116 chemical-disease interactions",English,"Named Entity Recognition (DNER - disease NER, chemical NER); Relation Extraction (Chemical-Induced Disease relations); Entity normalization to MeSH",Free for research; Available through BioCreative website,http://www.biocreative.org/tasks/biocreative-v/track-3-cdr/; Also available on Hugging Face and GitHub,Public domain-like access; BioCreative terms of use apply,https://github.com/JHnlp/BioCreative-V-CDR-Corpus
PMC-Patients,PMC-Patients: A Large-scale Dataset of Patient Summaries and Relations for Benchmarking Retrieval-based Clinical Decision Support Systems,10.1038/s41597-023-02814-8,Clinical decision support / Patient case reports,Case reports from various clinical settings,PMC-Patients,"167,000 patient summaries; 3.1M patient-article relevance annotations; 293,000 patient-patient similarity annotations",English,Patient summary extraction; Patient-to-Article Retrieval (PAR); Patient-to-Patient Retrieval (PPR); Clinical decision support,Free and open; No data use agreement required; Available on Figshare and Hugging Face,https://pmc-patients.github.io/; Figshare; Hugging Face: zhengyun21/PMC-Patients,CC BY-NC-SA 4.0 License,https://github.com/pmc-patients/pmc-patients
CADEC,CSIRO Adverse Drug Event Corpus (CADEC),10.1016/j.jbi.2015.03.010,Pharmacovigilance / Adverse drug events / Social media,Patient-reported experiences from online medical forums,CADEC,"1,250 forum posts covering 5 medications (Diclofenac, Lipitor, Lexapro, Zoloft, and Voltaren); Multiple sentences per post",English,"Named Entity Recognition (drugs, adverse effects, diseases, symptoms, findings); Entity normalization to SNOMED CT and MedDRA",Free for research purposes; Available through CSIRO Data Access Portal,https://data.csiro.au/ (original); Also available on GitHub in converted formats,CSIRO Data License; Research use only,https://data.csiro.au/collection/csiro:10948
